	"gene_name"	"liver_filtered"	"para_aotic_filtered"	"retroperitoneal_filtered"	"paratracheal_filtered"
167	"FMOD"	0	0	0	1
168	"ZEB1"	0	0	0	1
169	"PRUNE2"	0	0	0	1
170	"NEFH"	0	0	0	1
171	"LDHB"	0	0	0	1
172	"WFDC2"	0	0	0	1
173	"ACSM1"	0	0	0	1
174	"LPHN2"	0	0	0	1
175	"SMAGP"	0	0	0	1
176	"ARHGEF10"	0	0	0	1
177	"ZCCHC24"	0	0	0	1
178	"CLN5"	0	0	0	1
179	"MTF2"	1	0	0	1
180	"CCL2"	0	0	0	1
181	"PKIG"	0	0	0	1
182	"ATP1A2"	1	0	0	1
183	"MFGE8"	1	0	0	1
184	"HMGCS1"	0	0	0	1
185	"MYOF"	1	0	0	1
186	"CELF1"	0	0	0	1
187	"ADM"	0	0	0	1
188	"ZNF516"	1	0	0	1
189	"AURKA"	1	0	1	1
190	"TNK2"	0	0	0	1
191	"SLC4A7"	0	0	0	1
192	"KDM4C"	1	0	0	1
193	"LCAT"	0	0	0	1
194	"GSR"	0	0	0	1
195	"TGFB1I1"	1	0	0	1
196	"CCNE2"	0	0	0	1
197	"SF1"	0	0	0	1
198	"ARID1A"	0	0	0	1
199	"LOC647979"	1	0	0	1
200	"CBLB"	0	0	0	1
201	"NUCB2"	0	0	0	1
202	"C16orf45"	0	0	0	1
203	"NBEAL2"	0	0	0	1
204	"DYNC1I2"	0	0	0	1
205	"PMS2P3"	0	0	0	1
206	"PDE3B"	0	0	0	1
207	"AKR7A3"	0	0	0	1
208	"ARHGEF17"	0	0	0	1
209	"CLIP3"	0	0	0	1
210	"CAV1"	1	0	0	1
211	"MT1E"	0	0	0	1
212	"DPYSL3"	1	0	0	1
213	"P2RY2"	1	0	0	1
214	"ZKSCAN1"	0	0	0	1
215	"CRISP3"	0	0	0	1
216	"FERMT2"	0	0	0	1
217	"PFN1"	1	0	0	1
218	"CPM"	0	0	0	1
219	"HIST1H3H"	0	0	0	1
220	"CLU"	0	0	0	1
221	"TRIM22"	1	0	0	1
222	"MOXD1"	0	0	0	1
223	"ZMYND8"	1	0	1	1
224	"P4HA1"	1	0	0	1
225	"CES1"	0	0	1	1
226	"EZH2"	0	0	0	1
227	"PDLIM5"	0	0	1	1
228	"ANXA1"	0	0	0	1
229	"PCP4"	1	0	0	1
230	"MAOB"	1	0	0	1
231	"HPN"	1	0	0	1
232	"ATP1B1"	0	0	0	1
233	"SEMA3C"	0	0	0	1
234	"ADH5"	1	0	0	1
235	"LGALS3BP"	0	0	0	1
236	"HIPK2"	0	0	0	1
237	"ALDH3B2"	0	0	0	1
238	"DPT"	1	0	0	1
239	"NEAT1"	1	0	0	1
240	"GNAZ"	0	0	0	1
241	"KCNMB1"	1	0	0	1
242	"FASN"	0	0	0	1
243	"PDE4D"	0	0	1	1
244	"DNAJB5"	0	0	0	1
245	"MXD4"	0	0	0	1
246	"ALCAM"	0	0	0	1
247	"CAMKK2"	0	0	0	1
248	"DIRAS3"	0	0	0	1
249	"LRRC37A3"	0	0	0	1
250	"VIPR2"	0	0	0	1
251	"COX7A1"	1	0	0	1
252	"ACTC1"	1	0	0	1
253	"TPX2"	1	0	0	1
254	"IL32"	0	0	0	1
255	"MT1X"	0	0	0	1
256	"GRAMD4"	0	0	0	1
257	"ACVR2B"	0	0	0	1
258	"CDK19"	0	0	0	1
259	"PRRC1"	1	0	1	1
260	"PDLIM7"	0	0	0	1
261	"SYNM"	1	0	0	1
262	"MT1H"	0	0	0	1
263	"HAPLN1"	0	0	0	1
264	"SLC26A2"	0	0	0	1
265	"C11orf41"	0	0	0	1
266	"CACNB2"	0	0	0	1
267	"PDLIM3"	0	0	0	1
268	"SH3BGRL"	0	0	0	1
269	"ITGA5"	1	0	0	1
270	"SERPING1"	0	0	0	1
271	"C19orf50"	0	0	0	1
272	"SLC16A6"	0	0	0	1
273	"SMPDL3A"	0	0	0	1
274	"KIF3A"	0	0	0	1
275	"LDOC1"	0	0	0	1
276	"STAC"	0	0	0	1
277	"ATP5A1"	0	0	0	1
278	"PLCE1"	0	0	0	1
279	"STOM"	0	0	0	1
280	"C1S"	0	0	0	1
281	"GSTA4"	0	0	0	1
282	"TRIO"	1	0	1	1
283	"SEL1L"	1	0	0	1
284	"CKS2"	1	0	0	1
285	"NFAT5"	1	0	0	1
286	"MEIS1"	1	0	0	1
287	"TMEM123"	0	0	0	1
288	"SERPINF1"	1	0	0	1
289	"ATP2B4"	0	0	0	1
290	"RNFT2"	0	0	0	1
291	"BPTF"	1	0	0	1
292	"RAD23B"	1	0	0	1
293	"IGHM"	0	0	0	1
294	"PALLD"	0	0	0	1
295	"C9orf3"	1	0	0	1
296	"DDX17"	1	0	1	1
297	"MXRA7"	0	0	0	1
298	"RIPK2"	0	0	0	1
299	"FAM168B"	0	0	0	1
300	"HS3ST1"	0	0	0	1
301	"ZNF264"	0	0	0	1
302	"GSS"	1	0	1	1
303	"CALD1"	1	0	0	1
304	"NACC2"	0	0	0	1
305	"NUP210"	1	0	1	1
306	"GUSBP11"	0	0	0	1
307	"UST"	0	0	0	1
308	"PDPN"	1	0	0	1
309	"FGF13"	0	0	0	1
310	"MT1B"	0	0	0	1
311	"INPP1"	0	0	0	1
312	"HTR3A"	0	0	0	1
313	"COL4A6"	0	0	0	1
314	"MNX1"	1	0	1	1
315	"ZNF91"	0	0	0	1
316	"RGN"	0	0	0	1
317	"VDR"	0	0	1	0
318	"MSMB"	1	0	1	0
319	"TSPYL5"	0	0	1	0
320	"LCK"	0	0	1	0
321	"C7orf54"	0	0	1	0
322	"GPC4"	1	0	1	0
323	"ARL6IP1"	1	0	1	0
324	"DGKG"	0	0	1	0
325	"TOX3"	1	0	1	0
326	"HSPD1"	1	0	1	0
327	"TGM2"	1	0	1	0
328	"ATRX"	0	0	1	0
329	"VPS13A"	1	0	1	0
330	"PCDHB17"	1	0	0	0
331	"MKNK2"	1	0	0	0
332	"DDR2"	1	0	0	0
333	"KLF1"	1	0	0	0
334	"OSMR"	1	0	0	0
335	"SMAD5"	1	0	0	0
336	"TFAP2A"	1	0	0	0
337	"VPS13D"	1	0	0	0
338	"PGCP"	1	0	0	0
339	"DARC"	1	0	0	0
340	"NKX2-1"	1	0	0	0
341	"WWTR1"	1	0	0	0
342	"PKP2"	1	0	0	0
343	"ONECUT2"	1	0	0	0
344	"RBPMS"	1	0	0	0
345	"NKTR"	1	0	0	0
346	"GPR37"	1	0	0	0
347	"GNB2L1"	1	0	0	0
348	"TRIM3"	1	0	0	0
349	"TRO"	1	0	0	0
350	"ARSF"	1	0	0	0
351	"WFS1"	1	0	0	0
352	"MIR22HG"	1	0	0	0
353	"DNALI1"	1	0	0	0
354	"SULF1"	1	0	0	0
355	"PLA2G4A"	1	0	0	0
356	"ZWINT"	1	0	0	0
357	"ARMCX2"	1	0	0	0
358	"TRIP10"	1	0	0	0
359	"AQP1"	1	0	0	0
360	"ACYP2"	1	0	0	0
361	"SLC16A2"	1	0	0	0
362	"BCAR3"	1	0	0	0
363	"GRIA1"	1	0	0	0
364	"ITGA7"	1	0	0	0
365	"CDH11"	1	0	0	0
366	"CD63"	1	0	0	0
367	"MX1"	1	0	0	0
368	"FGB"	1	0	0	0
369	"ATP2B1"	1	0	0	0
370	"LMNB1"	1	0	0	0
371	"CAND2"	1	0	0	0
372	"F2RL1"	1	0	0	0
373	"ABCA2"	1	0	0	0
374	"ACOX2"	1	0	0	0
375	"CYB5A"	1	0	0	0
376	"NCAM2"	1	0	0	0
377	"DICER1"	1	0	0	0
378	"CTSA"	1	0	0	0
379	"TRA2A"	1	0	0	0
380	"C17orf108"	1	0	0	0
381	"RECQL4"	1	0	0	0
382	"PEG10"	1	0	0	0
383	"PPP3CB"	1	0	0	0
384	"CIRBP"	1	0	0	0
385	"C18orf1"	1	0	0	0
386	"PRRX1"	1	0	0	0
387	"TNPO1"	1	0	0	0
388	"DMD"	1	0	0	0
389	"LOC646652"	1	0	0	0
390	"ITGB4"	1	0	0	0
391	"YTHDC1"	1	0	0	0
392	"KIF11"	1	0	0	0
393	"MYH10"	1	0	0	0
394	"ZNF500"	1	0	0	0
395	"IFITM2"	1	0	0	0
396	"UGT2B7"	1	0	0	0
397	"PARM1"	1	0	0	0
398	"NFIX"	1	0	0	0
399	"DOCK4"	1	0	0	0
400	"SUPT6H"	1	0	0	0
401	"NFIB"	1	0	0	0
402	"KAT5"	1	0	0	0
403	"CGREF1"	1	0	0	0
404	"IFI35"	1	0	0	0
405	"DNAJB1"	1	0	0	0
